k,omega_B2_caseA_mV0,omega_B2_caseA_mV1,omega_B2_caseA_mV5,omega_B2_caseA_mV20,omega_B2_caseB_mV0,omega_B2_caseB_mV1,omega_B2_caseB_mV5,omega_B2_caseB_mV20
7.699234842817899568e-04,7.699234562232385977e-04,7.699234562232390314e-04,7.699234556464462946e-04,7.699234285369940247e-04,7.699234562232385977e-04,8.566917328352216792e-04,1.496462247628990066e-03,1.848121862002154647e-03
7.900751858814347023e-04,7.900751550027180180e-04,7.900751550004260146e-04,7.900751569703705129e-04,7.900751659637274618e-04,7.900751550027180180e-04,8.791144736025100328e-04,1.535630113497782421e-03,1.896493944198932979e-03
8.107543309032528341e-04,8.107542976413729301e-04,8.107542978258755169e-04,8.107542969116026278e-04,8.107543106052961593e-04,8.107542976413729301e-04,9.021240991334135255e-04,1.575823145177624547e-03,1.946132093345949833e-03
8.319747244625203290e-04,8.319746882702384102e-04,8.319746872026832947e-04,8.319746877364615030e-04,8.319746807973503249e-04,8.319746882702384102e-04,9.257359689627991158e-04,1.617068174562901611e-03,1.997069459643725179e-03
8.537505330046574626e-04,8.537504937255027725e-04,8.537504939855840086e-04,8.537504947658276083e-04,8.537504635560622590e-04,8.537504937255027725e-04,9.499658494753412952e-04,1.659392736599342487e-03,2.049340040548794546e-03
8.760962937625547909e-04,8.760962514136234631e-04,8.760962517040687568e-04,8.760962524274175465e-04,8.760962818273506638e-04,8.760962514136234631e-04,9.748299128323168698e-04,1.702825086586599477e-03,2.102978734863765464e-03
8.990269244614310529e-04,8.990268789215492915e-04,8.990268792920242096e-04,8.990268818853495037e-04,8.990268858370725671e-04,8.990268789215492915e-04,1.000344759844526291e-03,1.747394217170350700e-03,2.158021345208175398e-03
9.225577332777035958e-04,9.225576844323095035e-04,9.225576835066695135e-04,9.225576838291243585e-04,9.225576853714111646e-04,9.225576844323095035e-04,1.026527422101164086e-03,1.793129887597121963e-03,2.214504621548190038e-03
9.467044290585179163e-04,9.467043766602173741e-04,9.467043761911272210e-04,9.467043761911286305e-04,9.467043874492775575e-04,9.467043766602173741e-04,1.053395381364833315e-03,1.840062628004715886e-03,2.272466274313056540e-03
9.714831318087602859e-04,9.714830743852442569e-04,9.714830749474312726e-04,9.714830740331808264e-04,9.714830575766899255e-04,9.714830743852442569e-04,1.080966569779405126e-03,1.888223764783347400e-03,2.331944998584886079e-03
9.969103834525528535e-04,9.969103223302468522e-04,9.969103229984452048e-04,9.969103212922323428e-04,9.969103188901308216e-04,9.969103223302468522e-04,1.109259398101868988e-03,1.937645456810178435e-03,2.392980491011399789e-03
1.023003158876416340e-03,1.023003092345701158e-03,1.023003092099991239e-03,1.023003093213908140e-03,1.023003089741061564e-03,1.023003092345701158e-03,1.138292752643775812e-03,1.988360688330689970e-03,2.455613495185696854e-03
1.049778877261474093e-03,1.049778804959837627e-03,1.049778804305536795e-03,1.049778805281496993e-03,1.049778804183942654e-03,1.049778804959837627e-03,1.168086014880551039e-03,2.040403329613725732e-03,2.519885847231046090e-03
1.077255413712258298e-03,1.077255335716551399e-03,1.077255335494676797e-03,1.077255335248836123e-03,1.077255345610390403e-03,1.077255335716551399e-03,1.198659074993674604e-03,2.093808114955071024e-03,2.585840444053515153e-03
1.105451111189887292e-03,1.105451026874735643e-03,1.105451027549113514e-03,1.105451026425610965e-03,1.105451028151719370e-03,1.105451026874735643e-03,1.230032343683537619e-03,2.148610693628274625e-03,2.653521300545704040e-03
1.134384792757575731e-03,1.134384702630919809e-03,1.134384701682623897e-03,1.134384699499076717e-03,1.134384703233536074e-03,1.134384702630919809e-03,1.262226764257327535e-03,2.204847658342284130e-03,2.722973615158037416e-03
1.164075774146654859e-03,1.164075675694143741e-03,1.164075674804031972e-03,1.164075675662396567e-03,1.164075677187775782e-03,1.164075675694143741e-03,1.295263829709278770e-03,2.262556547939542900e-03,2.794243751159817147e-03
1.194543876651492018e-03,1.194543769285971030e-03,1.194543769981286363e-03,1.194543770958917750e-03,1.194543771606409359e-03,1.194543769285971030e-03,1.329165595534663675e-03,2.321775888863658339e-03,2.867379284619558152e-03
1.225809440361915782e-03,1.225809325223945877e-03,1.225809325132604663e-03,1.225809325920757626e-03,1.225809327089296850e-03,1.225809325223945877e-03,1.363954692192718629e-03,2.382545217987733568e-03,2.942429049455388881e-03
1.257893337741983197e-03,1.257893213387641703e-03,1.257893213415057707e-03,1.257893213609027980e-03,1.257893191526460001e-03,1.257893213387641703e-03,1.399654346447127239e-03,2.444905097551078148e-03,3.019443134213275603e-03
1.290816987564151952e-03,1.290816853999249758e-03,1.290816853169599390e-03,1.290816852623089287e-03,1.290816853184787762e-03,1.290816853999249758e-03,1.436288390387659890e-03,2.508897163450975795e-03,3.098472955268906631e-03
1.324602369208160817e-03,1.324602222668265798e-03,1.324602223995950939e-03,1.324602224009319368e-03,1.324602226424059434e-03,1.324602222668265798e-03,1.473881278995780057e-03,2.574564134643089752e-03,3.179571277801089817e-03
1.359272037334163666e-03,1.359271881141140524e-03,1.359271880324364407e-03,1.359271880076749761e-03,1.359271882308934250e-03,1.359271881141140524e-03,1.512458110823418746e-03,2.641949849912695984e-03,3.262792240485110594e-03
1.394849136939913707e-03,1.394848967343986562e-03,1.394848966866424128e-03,1.394848967503183436e-03,1.394848967189296065e-03,1.394848967343986562e-03,1.552044638225667230e-03,2.711099292903224045e-03,3.348191392134220856e-03
1.431357418812047831e-03,1.431357235467579101e-03,1.431357235685805146e-03,1.431357235766374811e-03,1.431357254146141053e-03,1.431357235467579101e-03,1.592667286769807204e-03,2.782058628999973214e-03,3.435825754810418586e-03
1.468821255381788562e-03,1.468821056186750493e-03,1.468821057698473966e-03,1.468821058303164525e-03,1.468821059722753147e-03,1.468821056186750493e-03,1.634353178373159406e-03,2.854875228445161867e-03,3.525753827503633718e-03
1.507265656995645858e-03,1.507265442979540239e-03,1.507265443035589372e-03,1.507265442299011255e-03,1.507265430661022939e-03,1.507265442979540239e-03,1.677130140039224341e-03,2.929597703170903379e-03,3.618035646760728221e-03
1.546716288611984635e-03,1.546716056922339952e-03,1.546716057783692824e-03,1.546716056922345373e-03,1.546716059473293757e-03,1.546716056922339952e-03,1.721026730049992097e-03,3.006275937022320939e-03,3.712732809168808185e-03
1.587199486934601656e-03,1.587199236767495008e-03,1.587199237327082974e-03,1.587199239005853595e-03,1.587199236767478745e-03,1.587199236767495008e-03,1.766072252185994567e-03,3.084961118030284544e-03,3.809908555495802006e-03
1.628742277994744492e-03,1.628742007422545948e-03,1.628742007912849276e-03,1.628742007681582013e-03,1.628742004150689421e-03,1.628742007422545948e-03,1.812296778387787735e-03,3.165705777644612761e-03,3.909627735919196830e-03
1.671372395193329845e-03,1.671372103339422051e-03,1.671372103321463760e-03,1.671372104384287634e-03,1.671372114481006668e-03,1.671372103339422051e-03,1.859731167697093075e-03,3.248563817145410683e-03,4.011956933293143839e-03
1.715118297815378546e-03,1.715117982193301678e-03,1.715117982711155016e-03,1.715117982584763714e-03,1.715117983157955816e-03,1.715117982193301678e-03,1.908407086020114628e-03,3.333590552476623902e-03,4.116964458269409266e-03
1.760009190029047498e-03,1.760008849447424698e-03,1.760008849258874785e-03,1.760008849392496414e-03,1.760008853484593084e-03,1.760008849447424698e-03,1.958357030185305190e-03,3.420842746903868508e-03,4.224720409907956921e-03
1.806075040381933993e-03,1.806074672128037215e-03,1.806074672207873310e-03,1.806074672676854067e-03,1.806074670621153405e-03,1.806074672128037215e-03,2.009614342745623394e-03,3.510378647647213399e-03,4.335296735280942670e-03
1.853346601807669960e-03,1.853346203919733386e-03,1.853346203979214018e-03,1.853346204585852239e-03,1.853346202312485848e-03,1.853346203919733386e-03,2.062213244918207917e-03,3.602258027655824788e-03,4.448767233034019337e-03
1.901855432156160288e-03,1.901855002227327302e-03,1.901855001760321311e-03,1.901855002460831274e-03,1.901855012501490767e-03,1.901855002227327302e-03,2.116188849187044217e-03,3.696542225575142043e-03,4.565207668662221892e-03
1.951633915261174069e-03,1.951633450744756334e-03,1.951633450653231672e-03,1.951633450732089166e-03,1.951633445948150296e-03,1.951633450744756334e-03,2.171577191104806515e-03,3.793294182899971650e-03,4.684695782631498676e-03
